,tracker_rows,folder,num,user,face_presence,sess_duration,fps
76,41694,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_41/1,1,user_41,1430564.3012695312,1431592.28515625,29.12478479176413
77,15350,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_46/1,1,user_46,510497.66455078125,511470.01513671875,30.012128033753715
78,8942,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_6/1,1,user_6,177327.63452148438,305628.3000488281,29.258013717055253
79,355,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_60/1,1,user_60,15779.029541015625,15827.0,22.498215056713192
80,11594,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_94/1,1,user_94,433468.23193359375,434159.7351074219,29.88515566334565
81,16928,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_67/1,1,user_67,620261.0654296875,631039.2600097656,27.138329761804197
82,13410,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_58/1,1,user_58,427356.5710449219,447748.4450683594,29.95079703076003
83,17334,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_51/1,1,user_51,614142.6225585938,631660.1450195312,27.97714353286288
84,15475,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_69/1,1,user_69,524897.2111816406,526931.3999023438,29.368215386184733
85,7365,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_50/1,1,user_50,266825.2658691406,266832.0400390625,29.943353953358745
86,20026,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_66/1,1,user_66,667687.8271484375,667678.5251464844,29.993058411034813
87,7806,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_92/1,1,user_92,124280.04125976562,281175.375,27.761296965660286
88,12161,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_59/1,1,user_59,408682.0,408728.0,29.756632296014992
89,20475,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_61/1,1,user_61,662748.1689453125,683536.4050292969,29.95442523864343
90,9069,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_88/1,1,user_88,303394.0,308314.0,29.41992243573212
93,10760,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_72/1,1,user_72,369764.60302734375,370001.9899902344,29.083875264808405
94,11535,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_81/1,1,user_81,385247.24658203125,385316.02001953125,29.936620272526362
95,23050,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_75/1,1,user_75,357404.8010253906,805881.6799316406,28.6154070264733
96,3542,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_26/1,1,user_26,118285.5,118325.0,29.944498691724682
97,3556,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_10/1,1,user_10,131317.43139648438,168826.30004882812,21.069664329912438
98,16066,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_74/1,1,user_74,479592.8576660156,574472.8598632812,27.967694636079155
99,30232,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_73/1,1,user_73,920288.2897949219,1011782.9250488281,29.880339819905554
100,20015,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_89/1,1,user_89,674964.1984863281,675087.7399902344,29.649039632721582
101,11679,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_42/1,1,user_42,300065.06689453125,390019.5051269531,29.94445869181693
102,16406,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_27/1,1,user_27,549004.4929199219,549018.9250488281,29.88317984930041
103,13374,dataset_journalists/eye_tracking_recordings/Негативні тексти/user_20/1,1,user_20,447480.1027832031,447684.2099609375,29.873999625268794
